119-2;No, I haven’t. Who’s playing at the concert?
119-3;A famous K-pop band.
119-4;Really? Let’s get the tickets!
127-1;Is it possible to use paper cups in the cafe?
127-2;You’re not supposed to use paper cups.
127-3;Then I’ll bring my own tumbler.
127-4;That’s a good idea.
130-1;Who is the girl over there?
130-2;You mean the girl with long black hair?
130-3;Yes, right.
130-4;Oh, she is my younger sister, Jenny.
141-1;I made a new friend in my class. Her name is Mina.
141-2;Oh, what is she like?
141-3;She is very active and friendly. I am happy to be with her.
141-4;Good for you!
146-1;When were you born?
146-2;I was born in 2010.
146-3;When is your birthday?
146-4;It is January 10th.
159-1;What is it?
159-2;It is a bookmark with a light.
159-3;Oh, What is it for?
159-4;It is for reading in the dark.
171-1;Did you know that Earth is so beautiful when you look at it from space?
171-2;Wow, I didn’t know. That’s interesting!
171-3;I wish I could see Earth from the moon with my own eyes.
171-4;Me, too. It will be so cool!
176-1;What are you good at?
176-2;I am good at soccer. What about you?
176-3;Well, I am good at cooking.
176-4;That’s awesome!
181-1;You look sick. What’s wrong?
181-2;I have a terrible headache.
181-3;Oh, I hope you get better soon.
181-4;Thanks.
185-1;Can I help you?
185-2;Yes. I am looking for a hat.
185-3;Oh, you can find hats in the B section.
185-4;Thanks.
188-1;I fought with my brother.
188-2;You must be sad.
188-3;What would you do if you were me?
188-4;If I were you, I would be nicer to my family.
